Ship type,Technical efficiency,Total fuel consumption [m tonnes],Total CO₂ emissions [m tonnes],CO₂ emissions from all voyages between diffrenet ports under a MS jurisdiction [m tonnes],CO₂ emissions produced when ships depart from various ports to start their journeys.under a MS jurisdiction [m tonnes],CO₂ emissions from all voyages to destination ports under a MS jurisdiction [m tonnes],"CO₂ emissions while ships are in port, either docked or berthed under a MS jurisdiction at berth [m tonnes]",Annual Time spent at sea [hours],Annual average Fuel consumption per distance [kg / n mile],Annual average CO₂ emissions per distance [kg CO₂ / n mile],Distance Travelled by Ship(nmiles in thousands)
General cargo ship,4.79,1400.46,4404.9,596.91,2094.19,1581.39,132.4,2045.68,69.85,219.69,20.05
General cargo ship,4.82,1989.84,6264.63,27.67,2197.88,3881.54,157.55,2682.46,65.76,207.03,30.26
General cargo ship,4.82,2073.09,6520.41,1095.29,2271,2770.86,383.25,3037.02,73.17,230.12,28.33
Bulk carrier,4,1216.89,3807.93,208.96,2128.56,1118.39,352.02,1102,97.03,303.61,12.54
Bulk carrier,3.95,1707.63,5334.88,226.91,3450.42,1406.16,251.36,1831.78,86.73,270.94,19.69
LNG carrier,3.6,3832.62,10666.4,0,4136.73,6302.93,226.74,1295.98,219.19,610.02,17.49
LNG carrier,3.62,7336.7,20457.1,0,7627.98,12562.06,267.04,2209.86,234.47,653.79,31.29
Bulk carrier,3.6,1714.2,5410.22,0,1189.82,4054.77,165.62,1642.8,86.24,272.18,19.88
Bulk carrier,3.5,2055.35,6505.8,360.76,4101.63,1746,297.37,1811.4,96.25,304.66,21.35
LNG carrier,9.2,27099.73,75137.03,6275.1,30492.1,36310.3,2059.53,6335.43,339.29,940.71,79.87
LNG carrier,9.21,27085.84,75398.16,0,36145.89,37604.79,1647.48,6321.12,312.83,870.81,86.58
LNG carrier,9.21,24502.32,67505.18,0,30346.57,35626.73,1531.87,4829.12,318.43,877.3,76.95
LNG carrier,9.22,22362.08,61855.14,5992.23,21801.98,31871.54,2189.39,4677.78,324.98,898.91,68.81
Oil tanker,20.66,1628.88,5086.08,1876.75,999.23,1665.41,544.67,2988.8,50.58,157.93,32.2
LNG carrier,9.21,21896.22,60321.5,0,25746.89,33177.27,1397.34,4729.55,314.54,866.52,69.61
General cargo ship,6.72,0,0,0,0,0,0,0,Division by zero!,Division by zero!,#VALUE!
General cargo ship,6.82,980.5,3089.34,124.27,483.59,2344.98,136.49,1045.88,77.84,245.26,12.6
General cargo ship,6.55,0,0,0,0,0,0,0,Division by zero!,Division by zero!,#VALUE!
General cargo ship,6.72,193.2,607.7,148.62,330.2,0,128.88,130.26,125.78,395.64,1.54
Chemical tanker,5.58,1065.75,3342.95,576.69,1085.32,1508.36,172.58,1029,88.95,279.02,11.98
Chemical tanker,4.17,1627.54,5109.71,548.94,1341.45,2708.8,510.52,860.6,172.25,540.8,9.45
Bulk carrier,5.52,34.8,111.57,0,97.27,0,14.3,36.5,92.02,295.02,0.38
LNG carrier,14.2,2638.84,7330.41,5640.45,155.78,144.34,1389.85,4735.6,48.67,135.2,54.22
Ro-pax ship,42.7,334.89,1073.66,1067.12,0,0,6.54,2793.74,11.04,35.39,30.33
Oil tanker,3.11,1663.5,5193.81,715.23,4234.92,0,243.66,674.18,283.41,884.88,5.87
Container ship,7.04,5762.72,18045.71,4439.73,7112.1,5545.35,948.53,1872.37,245.44,768.59,23.48
Container ship,7.42,9141.38,28582.81,3182.57,23596.55,690.89,1112.8,2170.77,285.97,894.16,31.97
Container ship,7.45,7813.33,24459.01,2741.04,20087.91,709.32,920.75,2145.37,271.14,848.77,28.82
Container ship,7.49,8057.5,25205.83,1728.65,22065.58,781.62,629.98,1780.13,291.35,911.41,27.66
Bulk carrier,4.44,530.29,1685.32,172.93,655.52,699.07,157.81,837.13,59.37,188.68,8.93
Oil tanker,2.65,3393.73,10596.51,93.4,4494.75,5286.05,722.31,2111.7,139.45,435.43,24.34
Oil tanker,2.63,5651.14,17683.17,218.33,8432.48,7482.86,1549.49,4857.5,126.67,396.36,44.61
LNG carrier,9.72,3136.82,9107.43,0,6282.39,2579.33,245.71,1426.88,191.97,557.37,16.34
LNG carrier,5.91,2502.39,6902.69,0,4019.13,2773.26,110.29,989.23,229.89,634.15,10.89
Bulk carrier,3.44,2494.75,7874.05,264.19,3249.07,4115.5,245.29,2374.3,92.06,290.57,27.1
Bulk carrier,3.5,2194.54,6857.76,175.15,3784.71,2216.63,681.28,1698.5,98.55,307.96,22.27
Oil tanker,2.11,2168.5,6795.44,323.49,2415.36,3554.85,501.74,1247,209.23,655.68,10.36
Bulk carrier,3.44,1778.67,5585.18,0,2915.11,2498.87,171.2,1808.07,85.37,268.07,20.83
General cargo ship,22,2038.89,6536.7,2259,1076,3024,177,3535,57.21,183.4,35.64
General cargo ship,22,2220.64,7119.36,1855,1191,3671,403,4457,55.88,179.14,39.74
Container ship,11.3,5776.83,18227.52,1494.37,5662.53,9983.61,1087.01,1171.8,302.12,953.29,19.12
Container ship,8.23,10951.58,34543.4,3312.33,9826.29,19918,1486.77,2598.5,274.31,865.23,39.92
Container ship,8.24,15274.44,48139.93,5559.11,17672.06,22550.63,2358.14,3904.1,257.39,811.22,59.34
Container ship,10.8,8999.47,28377.38,3324.49,7735.53,15971.51,1345.84,1796.4,313.59,988.81,28.7
LNG carrier,3.07,12732.64,35741.54,1255.66,17048.18,16724.54,713.18,4313.43,199.85,561,63.71
LNG carrier,3.09,1121.44,3135.65,0,2971.68,0,163.96,360.2,220.06,615.32,5.1
LNG carrier,3.06,1986.55,5761.13,0,2825.1,2816.84,119.19,617.81,198.18,574.73,10.02
Oil tanker,3.24,291.2,917.67,0,917.67,0,0,394.5,79.58,250.8,3.66
Bulk carrier,3.91,1833.83,5835.71,10.26,1185.64,3945.13,694.68,1684.03,90.56,288.18,20.25
LNG carrier,3.09,6158.52,17198.74,0,7313.47,9407.59,477.68,1579.15,230.32,643.2,26.74
Bulk carrier,3.53,1223.1,3841.16,480.93,1707.38,1463.38,189.47,1568.9,70.63,221.81,17.32
Bulk carrier,3.11,1444.49,4506.08,193.64,1102.98,3171.24,38.21,1524.71,84.1,262.36,17.18
Ro-pax ship,42.7,996.07,3193.41,2471.04,0,0,722.39,4825.48,19.26,61.76,51.72
Ro-pax ship,42.7,983.9,3154.39,2580.64,0,0,573.74,3025.74,31.72,101.68,31.02
Bulk carrier,4.57,1331.99,4167.65,462.44,2745.49,511.21,448.51,1374.6,81.83,256.03,16.28
Gas carrier,7.88,2460.7,7310.56,119.4,3629.5,3478.5,83.4,2524.9,77.37,229.86,31.8
Gas carrier,8.03,5958.67,17959.4,0,9613.3,8055.1,291,5524.3,82.28,248,72.42
LNG carrier,4.4,9904.92,28575.32,0,13824.98,14242.73,507.6,2736.5,249.03,718.44,39.77
Chemical tanker,17.73,1178.99,3685.8,0,1879.24,1516.22,290.35,1058,95.77,299.39,12.31
Oil tanker,2.89,1854.2,5781.1,0,1316.61,3721.46,743.01,1190.21,133.98,417.74,13.84
Oil tanker,2.85,1384.99,4352.55,0,1301.67,2591.46,459.42,907,129.72,407.66,10.68
Chemical tanker,8.08,286.7,919.16,0,0,912.11,7.05,983.55,60.4,193.65,4.75
Oil tanker,2.66,1103.77,3461.28,0,476.97,2758.29,226.02,766.23,138.92,435.63,7.95
Oil tanker,2.73,2761.6,8673.52,0,840.39,7367.3,465.83,2041.85,133.98,420.81,20.61
Gas carrier,5.74,826.18,2608.23,0,1241.75,1294.33,72.14,605.8,93.73,295.9,8.81
Gas carrier,5.81,1263.67,3994.49,0,1320.69,2216.98,456.8,842.2,103.82,328.17,12.17
Oil tanker,2.79,5808.1,18365.45,765.16,8447.61,7822.73,1329.96,5627.68,115.63,365.64,50.23
Oil tanker,2.68,3110.1,9821.55,0,1763.16,7776.83,281.55,2361,127.02,401.12,24.49
Oil tanker,2.94,1771.39,5564.35,0,1640.26,3687.46,236.63,1113.9,164.71,517.38,10.75
Ro-pax ship,2.38,17835.32,56190.71,50162.69,0,0,5939.08,4719.03,192.89,607.71,92.46
Chemical tanker,7.82,635.1,2008.74,453.39,1314.26,0,241.09,665.6,69.21,218.89,9.18
Container ship,7.46,8003.89,25089.63,3044.1,20482.16,609.14,954.23,2135.3,277.73,870.59,28.82
Container ship,7.61,10080.2,31886.71,3687.52,21805.23,4574.33,1819.62,2539.4,274.03,866.84,36.79
Oil tanker,2.79,1695.61,5307.65,0,1733.71,2990.13,583.81,1086.43,144.48,452.25,11.74
Oil tanker,3.1,4737.4,14935.79,0,4342.59,8728.45,1736.06,3953.93,132.04,416.28,35.88
Oil tanker,3.19,2868.08,8959.89,0,3760.16,4059.95,1126.01,3808.8,112.99,352.98,25.38
General cargo ship,5.52,335.3,1068.22,231.48,675.8,41.68,119.26,551.2,63.93,203.66,5.24
Oil tanker,2.65,896.5,2805.95,0,2311.41,306.35,188.19,552.5,127.83,400.11,7.01
LNG carrier,4.88,7322.4,20590.04,344.93,10103.52,9923.36,218.24,2622.4,197.28,554.75,37.12
Oil tanker,2.72,4592.89,14395.73,259.03,6156.28,6539.53,1405.92,4585.6,130.96,410.46,35.07
Gas carrier,7.96,3884.36,12264.92,1512.98,5206.08,5361.78,184.08,3509.53,84,265.24,46.24
Bulk carrier,3.4,2767.18,8662.73,1934.68,3479.96,2848.44,399.66,2852.9,85.79,268.56,32.26
Bulk carrier,3.29,2200.82,6959.9,544.9,2439.74,3806.56,168.7,2343.1,84.04,265.76,26.19
Bulk carrier,3.77,815.63,2579.99,0,76.08,2407.02,96.89,664.1,93.28,295.06,8.74
Bulk carrier,3.13,1163.08,3632.84,700.55,1282.04,1588.69,61.56,1071.8,104.18,325.41,11.16
Bulk carrier,3.69,2808.73,8872.48,1550.77,2143.01,4805.46,373.23,2909.8,80.81,255.26,34.76
Bulk carrier,3.5,735.3,2296.26,0,1105.23,1088.26,102.78,904.8,71.53,223.37,10.28
Bulk carrier,3.36,1382.91,4316.14,266.81,1078.94,2679.4,290.99,1116.6,99.67,311.07,13.87
Bulk carrier,3.32,121.08,384.99,113.76,0,0,271.23,48.5,218.56,694.93,0.55
General cargo ship,6.43,717.85,2241.37,0,0,2241.37,0,767,75.26,234.99,9.54
General cargo ship,7.67,4146.15,12947.33,1194.68,6667.13,4845.68,239.84,3924.97,98.81,308.55,41.96
Bulk carrier,3.94,2448.86,7733.37,166.08,2632.1,4831.03,104.15,2583.54,86.04,271.7,28.46
Bulk carrier,3.92,2497.08,7844.59,1404.59,4443.59,1632.74,363.67,2972,97.56,306.48,25.6
Gas carrier,22.5,1089.56,3447.98,89.53,1622.1,1553.19,183.57,2153.5,38.55,122,28.26
Bulk carrier,3.68,1748.17,5463.11,150.15,2937.58,2173.51,201.84,2009.9,77.01,240.65,22.7
Bulk carrier,5.49,919.55,2904.79,185.63,1226.11,1447.6,45.41,1134.8,64,202.17,14.37
Bulk carrier,3.63,378.65,1198.5,0,371.07,767.19,60.24,381,74.65,236.3,5.07
Bulk carrier,4.1,1996,6235.07,409.61,1738.56,3808.18,272.51,2139.4,75.36,235.42,26.49
Container ship,13.6,6618.93,2328.08,270.75,538.06,1463.08,56.18,5296.22,114.42,40.24,57.85
Container ship,13.5,5577.09,17367.06,7455.38,4762.59,3816.11,1332.98,5371.87,92.2,287.11,60.49
Container ship,13.6,8962.14,5816.75,1927.46,1443.53,2102.55,343.22,5747.23,124.82,81.01,71.8
Container ship,13.63,4877.61,15191.11,8286.39,3224.04,2520.39,1160.31,5075.19,85.47,266.19,57.07
Container ship,13.6,5212.47,16231.65,7824.09,3461.81,3715.54,1230.21,5225.71,92.33,287.52,56.45
Vehicle carrier,15.65,1584.07,5006.76,451.72,148.52,4204.04,202.48,925.3,123.22,389.45,12.86
Bulk carrier,3.98,1535.87,4808.39,532.08,2607.67,1397.1,271.54,1863.9,72.98,228.48,21.05
Chemical tanker,7.45,1868.71,5933.6,2198.28,1299.8,1192.87,1242.65,2928.25,62.36,198.01,29.97
Container ship,7.78,12247.2,38428.85,4504.75,21234.66,11757.13,932.3,2702.4,284.24,891.87,43.09
Container ship,7.81,11710.41,36711.69,3928.63,23682.94,8277.84,822.27,2809.8,278.73,873.82,42.01
Container ship,7.68,11906.5,37338.04,3797.83,29373.7,3021.33,1145.18,2765,279.29,875.82,42.63
Container ship,7.74,11528.8,36173.6,4688.13,28203.16,2248.05,1034.26,2783.6,269.38,845.24,42.8
Container ship,7.81,11716.86,36704.81,3489.09,24919.41,7510.49,785.85,2534.4,286.58,897.74,40.89
Container ship,7.76,12209.9,38316.59,7629.75,27673.48,1938.99,1074.38,2728,281.38,883.03,43.39
Oil tanker,4.44,6265.37,19787.84,2130.07,7724.2,8905.32,1028.24,6550.3,78.65,248.4,79.66
Other ship types,NA,885.7,2839.55,1573.79,357.85,482.18,425.72,2090.29,113.15,362.74,7.83
Container ship,7.63,18546.31,57979.49,10278.18,26229.03,19464.2,2008.07,4059.57,327.93,1025.19,56.56
Container ship,7.82,24149.94,75410.22,10166.15,28488.13,33639.33,3116.62,4668.73,368.58,1150.91,65.52
Container ship,7.76,20545.78,64144.19,13349.16,25633.54,22036.88,3124.59,4366.33,329.25,1027.92,62.4
Chemical tanker,7.03,946.62,3003.58,443.07,579.7,1814.16,166.65,1319.29,65.9,209.11,14.36
Chemical tanker,7.13,843.7,2655.97,576.76,978.98,1050.21,50.01,2184.7,52.69,165.86,16.01
Chemical tanker,4.14,1112.3,3529.56,277.32,1190.06,1771.09,291.1,1185.4,74.55,236.57,14.92
Oil tanker,2.15,4002.53,12490.8,362.79,8376.51,1998.43,1753.07,1677.6,196.45,613.08,20.37
Oil tanker,2.62,1250.71,3917.33,0,1467.79,1844.57,604.95,858.8,140.73,440.79,8.89
Oil tanker,2.55,2627.79,8248.31,0,3567.94,3321.71,1358.66,1585.52,162.33,509.55,16.19
Oil tanker,3.3,5365.6,16784.29,0,5446.23,9534.76,1803.3,3758.83,123.06,384.96,43.6
Oil tanker,3.17,5506.2,17227.22,259.47,4879.49,9761.82,2326.41,3763.76,124.79,390.42,44.12
Container ship,8.06,3807.96,11915.62,0,7667.37,3733.64,514.6,1009.48,309.7,969.09,12.3
Container ship,8.2,3963.29,12384.84,0,7231.96,4647.55,505.32,1128,298.91,934.07,13.26
Chemical tanker,6.18,1492.67,4691.61,154.91,2170.14,2058.59,307.97,1887.98,66.79,209.92,22.35
Chemical tanker,4.6,562.57,1754.07,0,416.49,1270.24,67.33,471.22,93.16,290.48,6.04
Oil tanker,17.1,2310,7218.36,0,3752,3243,224,4635,61.27,191.45,37.7
Container ship,8.9,16480.2,51499.44,2091.27,24362.96,23274.2,1771.01,3191.5,309.8,968.11,53.2
Container ship,8.84,17292.98,54050.17,1672.66,23976.47,26780.88,1620.16,3456.28,302.14,944.37,57.23
Container ship,8.79,15585.23,48708.9,2183.4,22681.46,22405.05,1438.99,2965.32,313.82,980.8,49.66
Container ship,9.14,15946.09,49820.45,1247.09,20237.36,26714.28,1621.71,3173.13,306.26,956.85,52.07
Container ship,8.88,16366.19,51243.84,1588.26,20756.94,27259.61,1639.02,3193.5,305.66,957.06,53.54
Bulk carrier,4.98,0,0,0,0,0,0,0,Division by zero!,Division by zero!,#VALUE!
Bulk carrier,4.98,2371.62,7445.14,1931.19,2932.23,2296.47,285.24,2880.46,69.22,217.31,34.26
Vehicle carrier,19.7,1465.13,4623.7,545.5,499.8,3485.65,92.75,1069.74,87.23,275.29,16.8
Vehicle carrier,19,1451.59,4586.45,1913.26,1982.78,544.56,145.84,1013.67,89.85,283.9,16.16
Vehicle carrier,19.3,1905.78,6014.42,1116.41,3611.69,1097.95,188.37,1369.1,87.34,275.63,21.82
Vehicle carrier,16.17,1929.13,6017.73,123.68,3161.55,2611.57,120.93,1228.8,100.08,312.18,19.28
Vehicle carrier,16.08,1250.2,3900.06,0,741.31,3119.53,39.22,670,107.71,336.01,11.61
Oil tanker,3.23,6046.1,18958.55,0,5544.88,10493.78,2919.9,4530.38,122.36,383.69,49.41
Oil tanker,3.21,5635.29,17632.82,0,6987.45,7791.61,2853.77,4133.78,126.35,395.36,44.6
Container ship,8.37,8529.5,26585.63,3594.53,10140.71,10910.71,1939.68,1965.9,283.04,882.21,30.14
Container ship,8.34,12215.91,38068.69,3858.71,11171.51,21091.12,1947.34,2681.48,299.49,933.3,40.79
Container ship,8.38,10936,34083.73,3344.83,11922.82,17369.81,1446.28,2139.6,313.74,977.81,34.86
Container ship,8.34,11441.91,35661.56,4008.24,10297.9,19723.26,1632.14,2609.4,284.86,887.85,40.17
Container ship,8.38,10362.37,32311.51,3811.3,9790.7,17409.42,1300.09,2371.6,299.2,932.95,34.63
Oil tanker,3.78,1418,4435.95,0,2777.59,1472.61,185.53,1201,97.04,303.56,14.61
Oil tanker,3.77,1129.4,3554.27,102.91,2409.03,620.1,422.26,970,102.53,322.68,11.02
Container ship,13.48,5653.25,17712.99,10453.56,2037.51,3908.48,1313.45,5275.49,96.57,302.57,58.54
Container ship,13.59,5536.74,17403.06,8891.2,2643.47,4313.33,1555.02,5076.99,91.74,288.34,60.35
Container ship,7.39,15045.86,46874.75,4398.8,5732.57,35065.5,1677.87,2881.42,334.57,1042.35,44.97
Container ship,7.4,10892.86,33937.65,3490.92,4125.16,25083.47,1238.09,2272.67,310.44,967.21,35.09
Container ship,7.36,15237.93,47473.32,4797.64,17708.79,24250.31,716.58,3151.1,329.1,1025.3,46.3
Container ship,7.54,12047.98,37533.34,3497.48,4624.19,27870.33,1541.34,2623.39,315.79,983.77,38.15
Container ship,7.49,4724.57,14752.13,883.39,3662.52,9358.24,847.99,1873.59,294.48,919.5,16.04
Container ship,7.47,18833.39,58679.1,9889.81,27455.92,20272.07,1061.3,4699.58,326.87,1018.43,57.62
Bulk carrier,5.22,920.66,2909.72,132.73,1092.06,1590.64,94.29,1135.05,65.58,207.27,14.04
Bulk carrier,5.19,398.14,1256.06,37.4,709.25,450.6,58.82,521.6,64.13,202.33,6.21
LNG carrier,4.14,3255.67,9012.47,0,3773.83,5085.07,153.56,1364.42,174.59,483.32,18.65
Oil tanker,2.68,591.24,1864.84,0,777.04,797.92,289.89,583.4,150.33,474.15,3.93
Oil tanker,2.65,4289.17,13463.13,0,4199.02,7378.01,1886.09,3151.2,136.38,428.08,31.45
Oil tanker,2.87,3874.36,12157.85,1728.88,3701.72,5146.5,1580.75,2236.2,143.99,451.85,26.91
Oil tanker,4.04,491.71,1551.85,0,1551.85,0,82.71,398.49,99.68,314.59,4.93
Oil tanker,2.15,5416.9,17114.64,0,6131.42,9716.37,1266.86,3192.6,154.52,488.19,35.06
Oil tanker,2.11,1642.6,5193.47,0,2120.1,2515.54,557.84,949.5,157.34,497.46,10.44
Oil tanker,10.47,2830.85,8852.13,894.75,3628.42,4252.64,76.33,4665.3,48.91,152.94,57.88
Oil tanker,3.12,3905.33,12213.01,0,5240.01,6438.01,534.99,3101.3,111.56,348.88,35.01
Oil tanker,2.11,2604.65,8172.51,0,3598.49,3800.42,773.61,1649.1,169.64,532.27,15.35
Oil tanker,2.92,1554.84,4895.03,701.09,233.24,3152.52,808.18,1122.3,120.94,380.76,12.86
Oil tanker,2.95,6532.18,20934.57,11875.5,990.77,1727.68,6340.62,4596.47,134.8,432,48.46
Oil tanker,2.94,1037.53,3278.78,0,860.07,2222.83,195.89,812.66,121.27,383.23,8.56
Bulk carrier,3.22,692.19,2192.99,125.13,994.69,1005.01,68.16,741.8,79.38,251.5,8.72
Bulk carrier,3.26,3061.6,9662.31,227.95,6207.91,2951.34,275.11,3081.3,85.23,268.98,35.92
Oil tanker,3.03,5887.28,18663.42,4388.44,5619.19,5965.32,2690.48,5000.15,145.58,461.52,40.44
Oil tanker,3.05,1259.9,3939.47,0,1951.03,1882.32,106.12,1268.5,116.47,364.19,10.82
Bulk carrier,5.76,868,2739.67,130.36,1662.82,850.46,96.02,1115.7,63.48,200.37,13.67
Bulk carrier,5.72,1308.4,4086.8,569.51,1419.24,1975.27,122.79,1443.8,73.42,229.32,17.82
LNG carrier,5.14,13517.05,37924.52,22835.93,4583.37,7850.56,2654.65,3558.08,323.19,906.78,41.82
Container ship,7.45,19293.19,60104.49,7087.8,27458.96,24573.41,984.32,4217.45,332.89,1037.06,57.96
Container ship,7.33,9899.64,30893.91,3768.8,5157.81,20601.86,1365.44,2350.08,325.8,1016.74,30.39
Container ship,6.7,9263.78,28853.67,2812.1,4262.78,20599.11,1179.69,2946.73,279.48,870.5,33.15
Container ship,7.49,16613.56,51760.84,6366.76,12563.28,30842.21,1988.57,3488.4,312.09,972.34,53.23
Container ship,7.37,12417.57,38690.71,4025.33,4331.89,28611.88,1721.61,2894.71,320.68,999.16,38.72
Chemical tanker,7.2,3386.29,10576.43,496.38,2981.06,6524.98,574.05,3988.6,69.84,218.12,48.49
Chemical tanker,7.41,3536.79,11062.36,1413.02,4640.91,4221.72,786.77,4915.4,60.65,189.71,58.31
Bulk carrier,3.82,630.74,1998.96,146.16,1419.25,0,433.55,588.91,89.83,284.7,7.02
Vehicle carrier,15.2,2745.74,8685.9,73.74,2591.52,5518.39,502.25,1730.66,107.59,340.34,25.52
Vehicle carrier,15.3,1409,4455.13,1275.1,143.95,2855.93,180.15,1012.38,108.25,342.28,13.02
Gas carrier,6.2,709.4,2239.6,0,1666.04,529.75,43.8,615.9,96.14,303.51,7.38
Container ship,15.9,4385.7,13984.89,7528.6,2567.8,2456.02,1432.48,4934.6,79.66,254.01,55.06
Container ship,15.8,6041.8,18846.62,2023.4,9240.28,6877.45,705.54,4970.7,99.28,309.68,60.86
Container ship,8.27,2187.4,6892.97,0,4322.23,2542.39,28.36,619,207.24,653.05,10.55
Bulk carrier,5.15,1177.24,3668.14,0,1223.43,2413.9,30.81,1506.45,65.25,203.31,18.04
Bulk carrier,4.21,448.7,1416.17,0,73.44,1229.81,112.92,486.89,94.26,297.51,4.76
Bulk carrier,3.55,647.93,2048.47,671.58,998.32,211.79,166.78,696.8,81.73,258.4,7.93
Bulk carrier,3.53,2358.09,7450.65,21.26,1810.18,5084.71,534.5,2291.4,89.42,282.53,26.37
Bulk carrier,3.6,91.09,284.97,0,284.97,0,0,97.83,93.43,292.28,0.97
General cargo ship,5.55,390,1232.56,464.81,449.79,207.67,110.28,538.2,63.67,201.23,6.13
Passenger ship,7.07,26192.25,81866.64,61736.7,0,0,20129.95,5245.62,447.14,1397.59,58.58
Passenger ship,6.86,18141.96,56087.53,38926.4,3251.84,1013.63,12895.66,3613.17,392.64,1213.87,46.21
Passenger ship,6.63,18974.25,59922.72,50251.26,0,0,9671.45,3652,364.67,1151.68,52.03
Passenger ship,6.52,24990.66,79278.85,65865.97,546.41,0,12866.48,4231.98,400.05,1269.1,62.47
LNG carrier,3.38,2475.8,7212.77,426.64,2093.87,4437.58,254.67,689.6,211.9,617.32,11.68
LNG carrier,3.34,12108.2,33728.09,0,17883.06,15456.84,388.19,3977.1,178.11,496.13,67.98
Bulk carrier,3.81,1602.7,5038.14,284.69,1577.13,2945.35,230.96,2036.24,72.78,228.79,22.02
Bulk carrier,3.81,1011.09,3195.33,127.12,1773.34,1076.07,218.81,1247.08,69.4,219.32,14.57
Bulk carrier,4.32,1374.11,4303.88,60.47,2204.85,1649.66,388.92,1286,87.93,275.42,15.63
Vehicle carrier,16.2,6404.95,20024.6,3119.41,6445.97,9711.52,747.68,3847.56,103.48,323.53,61.9
Vehicle carrier,15.9,3082.87,9639.71,128.55,8577.98,617.08,316.12,1949.5,99.77,311.96,30.9
Bulk carrier,3.57,1109.93,3464.77,0,1496.24,1914.62,53.9,1255.95,79.45,248.02,13.97
Bulk carrier,3.56,885.32,2805.86,411.62,954.2,1134.09,305.95,943.5,82.77,262.33,10.7
Bulk carrier,3.54,958.84,3028.74,0,1378.58,1551.96,98.2,928.2,90.44,285.68,10.6
Bulk carrier,4.13,467.76,1474.49,0,0,1474.49,0,427.2,85.25,268.72,5.49
Bulk carrier,3.67,1184.52,3728.74,14.43,1139.71,2264.08,310.53,1200.03,76.14,239.69,15.56
Bulk carrier,3.73,554.9,1749.59,0,219.32,1477.68,52.58,579.9,79.87,251.83,6.95
Oil tanker,2.16,2838.69,8872.75,0,8872.75,0,0,1253.38,187.53,586.16,15.14
Bulk carrier,5.44,636.91,2014.15,52.59,1230.17,514.79,216.6,671.4,81.01,256.19,7.86
Vehicle carrier,19.94,7359.65,23038.15,3585.24,8936.83,9258.78,1257.29,4407.84,119.45,373.92,61.61
Vehicle carrier,19.9,6713.86,21000.59,3924.92,6524.28,9545.35,1006.04,3757.4,117.95,368.93,56.92
Vehicle carrier,20.15,8856.26,27698.81,10363.66,7016.11,9338.18,980.87,5093.7,141.09,441.29,62.77
Vehicle carrier,20.41,6487.57,20290.05,8536.55,4382.05,6572.12,799.33,3620.98,116.87,365.52,55.51
Vehicle carrier,20.63,7028.37,21996.04,5936.88,9148.94,5687.1,1223.12,3855.5,118.16,369.81,59.48
Bulk carrier,5.55,602.15,1902.33,157.72,1341.9,323.62,79.09,832.4,61.78,195.19,9.75
Bulk carrier,5.51,2090.13,6614.96,79.35,3048.4,3240.83,246.38,3008.4,56.93,180.16,36.71
Bulk carrier,5.46,1433.81,4528.53,401.44,1153.56,2820.94,152.61,1691,71.79,226.74,19.97
Oil tanker,3.12,3828.1,12169.71,1056.7,2706.76,6403.15,2003.11,2885.57,126.56,402.34,30.25
Oil tanker,3.1,1073.9,3403.72,0,432.52,2678.17,293.03,706.68,125.76,398.59,8.54
Ro-pax ship,24,19617,58863.07,55000,0,0,3880,3703,226,678.15,86.8
LNG carrier,16.78,4917.1,13760.61,1536.82,7150.92,4384.29,688.59,7155.64,68.96,192.98,71.3
Bulk carrier,3.54,1761.46,5562.32,248.21,2528.94,2617.95,167.22,1893.9,81.92,258.7,21.5
Bulk carrier,3.51,2778.86,8789.66,0,3848.39,4794.98,146.29,2656,88.09,278.63,31.55
Bulk carrier,2.2,2349.1,7333.99,89.91,2908.27,3845.73,490.09,1353.8,142.23,444.05,16.52
Bulk carrier,2.2,1274.1,3971.7,0,1508.75,2181.51,281.44,572.2,190.96,595.28,6.67
Oil tanker,3.51,2011.73,6288.48,512.63,3817.17,1433.61,525.07,1528.4,113.45,354.64,17.73
Oil tanker,3.51,133.95,421.01,0,421.02,0,0,127.2,95.43,299.93,1.4
Oil tanker,3.07,1160.98,3649.51,241.86,891.19,2105.93,410.53,840.6,122.24,384.25,9.5
Oil tanker,3.05,1624.71,5078.8,0,620.62,4088.6,369.59,1093.5,125.29,391.64,12.97
Container ship,7.04,23760.69,74113.09,14172.77,39046.07,18715.77,2178.46,4499,315.45,983.92,75.32
Container ship,7.05,27393.62,85417.97,10690.28,48014.41,24612.13,2101.15,5523.75,297.64,928.1,92.04
Container ship,7.01,27908.67,87022.52,10332.89,48664.6,25917.06,2107.97,5422.18,302.72,943.93,92.19
Container ship,7.37,24756.05,77213.74,11461.32,39932.41,23827.89,1992.12,4860.38,304.82,950.72,81.22
Container ship,7.36,24116.51,75208.1,10905.26,38828.02,23545.17,1929.65,5043.56,296.95,926.06,81.21
Container ship,7.02,22128.56,69021.55,11962.37,37566.34,17356.07,2136.78,4595.44,292.13,911.18,75.75
Container ship,7.05,23795.53,74208.27,9951.65,37134.63,25350.59,1771.4,4780.64,299.18,933.02,79.54
Passenger ship,15.92,18582.04,57944.61,38636.55,7892.91,9935.43,1479.73,5258.29,285.79,891.17,65.02
Passenger ship,15.92,12187.11,37988.74,27216.54,4426.31,4862.38,1483.51,4914.02,289.64,902.84,42.08
Oil tanker,3.15,4104.56,12925.43,481.9,3940.01,5942.99,2560.52,4425.1,133.29,419.73,30.79
Bulk carrier,4.7,1135.07,3548.99,493.94,1089.82,1875.11,90.11,1488.3,64.42,201.43,17.62
