Ship type,Technical efficiency,Total fuel consumption [m tonnes],Total CO₂ emissions [m tonnes],CO₂ emissions from all voyages between diffrenet ports under a MS jurisdiction [m tonnes],CO₂ emissions produced when ships depart from various ports to start their journeys.under a MS jurisdiction [m tonnes],CO₂ emissions from all voyages to destination ports under a MS jurisdiction [m tonnes],"CO₂ emissions while ships are in port, either docked or berthed under a MS jurisdiction at berth [m tonnes]",Annual Time spent at sea [hours],Annual average Fuel consumption per distance [kg / n mile],Annual average CO₂ emissions per distance [kg CO₂ / n mile],Distance Travelled by Ship(nmiles in thousands)
Refrigerated cargo carrier,25.61,863.7,2723.14,0,2568.83,96.61,57.71,637.46,88.2,278.08,9.79
Refrigerated cargo carrier,23.29,3426.3,10682.78,0,5457.2,4703.1,522.5,1872.7,107.6,335.49,31.84
Refrigerated cargo carrier,24.34,4643.3,14468.64,5364.2,7171.9,1168.9,763.7,2812,101.52,316.34,45.74
Refrigerated cargo carrier,24.61,4325.8,13485.78,7041,3340.9,2307.2,796.8,2969.3,91.73,285.98,47.16
Ro-pax ship,24.15,8480.25,27187.68,0,12882.35,12997.12,1308.21,3340.35,199.37,639.17,42.54
Ro-pax ship,30.54,18807,58593.54,26085.5,13214.9,12353.9,3854.2,5279,197.39,614.97,95.28
Ro-pax ship,25.55,12707,39874.09,18296.2,7635.6,7551.8,3421.8,3181,217.42,682.26,58.44
Refrigerated cargo carrier,25.61,1507.55,4710.86,0,2337.55,2313.35,59.95,1261.36,75.25,235.13,20.03
Ro-pax ship,4.96,13694.58,43211.51,40950.73,0,0,2260.78,5903,150.41,474.6,91.05
Refrigerated cargo carrier,14.95,1063.9,3326.8,19.24,1500.15,1712.85,94.58,687.6,95.88,299.82,11.1
Refrigerated cargo carrier,14.99,2504.47,7832,0,2638.23,4957.47,236.28,1677.2,94.49,295.48,26.51
Ro-pax ship,16.9,4995.81,15636.46,13269.07,473.03,428.35,1466.04,3535.03,97.28,304.46,51.35
Ro-pax ship,23.45,172.69,544.29,313.41,0,0,230.89,65.91,210.85,664.58,0.82
Ro-pax ship,32.54,5347.51,16879.91,15189.2,0,0,1690.68,4363.73,85.22,268.99,62.75
Ro-pax ship,17.57,8788.01,27571.39,25136.76,0,0,2433.03,6304,89.5,280.78,98.19
Refrigerated cargo carrier,16.53,957.6,2992.31,178.1,2192.1,433.3,188.8,1170.5,51.24,160.12,18.69
Refrigerated cargo carrier,16.32,510.8,1592.42,0,189.2,1377.3,26,457.5,71.58,223.15,7.14
Container ship,31.16,352.82,1103.72,0,673.14,381.76,48.82,422.9,71.79,224.58,4.91
Container ship,31.25,295.39,932.23,245.84,443.05,209.83,33.5,436.9,80.74,254.81,3.66
Ro-pax ship,23,3010.02,9650.13,7720,0,0,1930,3016.79,82.35,264.02,36.55
Refrigerated cargo carrier,23.29,1669.9,5209.21,929.4,2714.2,1314.2,251.4,1144.8,94.25,294.02,17.72
Refrigerated cargo carrier,23.83,2533.3,7891.27,2189.5,3188.8,2175,338,1859.8,86.26,268.71,29.37
Ro-pax ship,23.45,4806,15011.83,35.78,6723.92,7106.27,738.27,4703.1,83.01,259.29,57.9
Ro-pax ship,21.59,5418.47,17103.73,15309.87,0,0,1793.87,4319,88,277.77,61.57
Ro-pax ship,17.35,2447.12,7656.15,3618.97,1576.41,1576.41,884.33,2603.22,76.72,240.02,31.9
Bulk carrier,7.81,675.4,2139.06,1248.55,335.31,438.18,117.02,1172.87,52.44,166.09,12.88
Chemical tanker,14.49,495.9,1589.85,0,915.96,602.72,71.17,924,52.05,166.86,9.53
Chemical tanker,14.37,464.95,1490.63,56.11,597.59,708.85,128.08,994,45.77,146.74,10.16
Ro-pax ship,32.29,11922.43,37203.64,34518.65,0,0,2684.99,3313.59,193.72,604.5,61.54
Container ship,16.97,3021.81,9533.89,3280.96,2998.18,2855.39,399.35,1131.1,204.27,644.49,14.79
